timestamp,t_c1,v_c1,mt_c1
2024-06-01 00:00:07.541000+00:00,54.130001068115234,-410.489990234375,-93012181.63077907
2024-06-01 00:01:04.389000+00:00,54.02999877929688,-433.0,-97931425.92742921
2024-06-01 00:02:04.204000+00:00,54.02999877929688,-433.0,-97931425.92742921
2024-06-01 00:03:04.816000+00:00,54.02999877929688,-434.5700073242188,-98286513.81652218
2024-06-01 00:04:04.580000+00:00,54.02999877929688,-438.9200134277344,-99270352.8477238
2024-06-01 00:05:04.545000+00:00,53.95000076293945,-460.3599853515625,-103965260.65410988
2024-06-01 00:06:05.229000+00:00,53.90999984741211,-460.3599853515625,-103888176.21388017
2024-06-01 00:07:04.488000+00:00,53.90999984741211,-468.989990234375,-105835685.76405883
2024-06-01 00:08:04.513000+00:00,53.90999984741211,-484.5199890136719,-109340298.02646658
2024-06-01 00:09:04.690000+00:00,53.90999984741211,-498.4800109863281,-112490617.92565897
2024-06-01 00:10:04.749000+00:00,53.79999923706055,-515.1699829101562,-116019781.66197087
2024-06-01 00:11:04.849000+00:00,53.79999923706055,-517.3900146484375,-116519747.89855759
2024-06-01 00:12:04.921000+00:00,53.79999923706055,-517.3900146484375,-116519747.89855759
2024-06-01 00:13:05.048000+00:00,53.79999923706055,-548.6099853515625,-123550697.496996
2024-06-01 00:14:04.668000+00:00,53.79999923706055,-550.4600219726562,-123967338.31840694
2024-06-01 00:15:04.810000+00:00,53.70000076293945,-579.9000244140625,-130354684.51999931
2024-06-01 00:16:04.177000+00:00,53.70000076293945,-573.97998046875,-129023928.47870499
2024-06-01 00:17:04.891000+00:00,53.70000076293945,-582.7100219726562,-130986338.82217419
2024-06-01 00:18:04.342000+00:00,53.70000076293945,-609.760009765625,-137066856.9745662
2024-06-01 00:19:05.038000+00:00,53.70000076293945,-613.9199829101562,-138001969.86305928
2024-06-01 00:20:04.893000+00:00,53.70000076293945,-644.9299926757812,-144972654.23929211
2024-06-01 00:21:04.405000+00:00,53.61000061035156,-680.27001953125,-152660390.0152797
2024-06-01 00:22:04.057000+00:00,53.61000061035156,-681.2999877929688,-152891526.6992772
