datetime,VZLK
2023-12-31 23:00:06,839.5499877929688
2023-12-31 23:00:36,801.0700073242188
2023-12-31 23:01:06,801.0700073242188
2023-12-31 23:01:36,791.2100219726562
2023-12-31 23:02:06,788.0900268554688
2023-12-31 23:02:36,788.0900268554688
2023-12-31 23:03:06,788.780029296875
2023-12-31 23:03:36,789.1300048828125
2023-12-31 23:04:06,789.1300048828125
2023-12-31 23:04:36,789.8200073242188
2023-12-31 23:05:06,788.780029296875
2023-12-31 23:05:36,788.780029296875
2023-12-31 23:06:06,786.7100219726562
2023-12-31 23:06:36,787.3800048828125
2023-12-31 23:07:06,787.4000244140625
2023-12-31 23:07:36,790.1699829101562
2023-12-31 23:08:06,790.1699829101562
2023-12-31 23:08:36,788.780029296875
2023-12-31 23:09:06,789.1300048828125
2023-12-31 23:09:36,789.1300048828125
2023-12-31 23:10:06,787.75
2023-12-31 23:10:36,787.75
2023-12-31 23:11:06,787.75
2023-12-31 23:11:36,788.4400024414062
2023-12-31 23:12:06,789.8200073242188
2023-12-31 23:12:36,789.8200073242188
2023-12-31 23:13:06,789.8200073242188
2023-12-31 23:13:36,790.1699829101562
2023-12-31 23:14:06,790.1699829101562
2023-12-31 23:14:36,790.510009765625
2023-12-31 23:15:06,789.8200073242188
2023-12-31 23:15:36,789.8200073242188
2023-12-31 23:16:06,787.4000244140625
2023-12-31 23:16:36,787.75
2023-12-31 23:17:06,787.75
2023-12-31 23:17:36,789.1300048828125
2023-12-31 23:18:06,787.0599975585938
2023-12-31 23:18:36,787.0599975585938
2023-12-31 23:19:06,788.780029296875
2023-12-31 23:19:36,789.1300048828125
2023-12-31 23:20:06,789.1300048828125
2023-12-31 23:20:36,787.75
2023-12-31 23:21:06,788.780029296875
2023-12-31 23:21:36,788.780029296875
2023-12-31 23:22:06,787.0599975585938
2023-12-31 23:22:36,788.3400268554688
2023-12-31 23:23:06,788.4400024414062
2023-12-31 23:23:36,789.1300048828125
2023-12-31 23:24:06,789.1300048828125
2023-12-31 23:24:36,788.4400024414062
2023-12-31 23:25:06,788.4400024414062
2023-12-31 23:25:36,788.4400024414062
2023-12-31 23:26:06,789.1300048828125
2023-12-31 23:26:36,788.4400024414062
2023-12-31 23:27:06,788.4400024414062
2023-12-31 23:27:36,787.75
2023-12-31 23:28:06,789.1300048828125
2023-12-31 23:28:36,789.1300048828125
