datetime,VZHK2
2023-12-31 23:00:07,0.0
2023-12-31 23:00:36,0.0
2023-12-31 23:01:06,0.0
2023-12-31 23:01:36,0.0
2023-12-31 23:02:06,0.0
2023-12-31 23:02:36,0.0
2023-12-31 23:03:06,0.0
2023-12-31 23:03:36,0.0
2023-12-31 23:04:06,0.0
2023-12-31 23:04:36,0.0
2023-12-31 23:05:06,0.0
2023-12-31 23:05:36,0.0
2023-12-31 23:06:06,0.0
2023-12-31 23:06:36,0.0
2023-12-31 23:07:06,0.0
2023-12-31 23:07:36,0.0
2023-12-31 23:08:06,0.0
2023-12-31 23:08:36,0.0
2023-12-31 23:09:06,0.0
2023-12-31 23:09:36,0.0
2023-12-31 23:10:06,0.0
2023-12-31 23:10:36,0.0
2023-12-31 23:11:06,0.0
2023-12-31 23:11:36,0.0
2023-12-31 23:12:06,0.0
2023-12-31 23:12:36,0.0
2023-12-31 23:13:06,0.0
2023-12-31 23:13:36,0.0
2023-12-31 23:14:06,0.0
2023-12-31 23:14:36,0.0
2023-12-31 23:15:06,0.0
2023-12-31 23:15:36,0.0
2023-12-31 23:16:06,0.0
2023-12-31 23:16:36,0.0
2023-12-31 23:17:06,0.0
2023-12-31 23:17:36,0.0
2023-12-31 23:18:06,0.0
2023-12-31 23:18:36,0.0
2023-12-31 23:19:06,0.0
2023-12-31 23:19:36,0.0
2023-12-31 23:20:06,0.0
2023-12-31 23:20:36,0.0
2023-12-31 23:21:06,0.0
2023-12-31 23:21:36,0.0
2023-12-31 23:22:06,0.0
2023-12-31 23:22:36,0.0
2023-12-31 23:23:06,0.0
2023-12-31 23:23:36,0.0
2023-12-31 23:24:06,0.0
2023-12-31 23:24:36,0.0
2023-12-31 23:25:06,0.0
2023-12-31 23:25:36,0.0
2023-12-31 23:26:06,0.0
2023-12-31 23:26:36,0.0
2023-12-31 23:27:06,0.0
2023-12-31 23:27:36,0.0
2023-12-31 23:28:06,0.0
2023-12-31 23:28:36,0.0
2023-12-31 23:29:06,0.0
2023-12-31 23:29:36,0.0
2023-12-31 23:30:06,0.0
2023-12-31 23:30:36,0.0
2023-12-31 23:31:06,0.0
2023-12-31 23:31:36,0.0
2023-12-31 23:32:06,0.0
2023-12-31 23:32:36,0.0
2023-12-31 23:33:06,0.0
2023-12-31 23:33:36,0.0
2023-12-31 23:34:06,0.0
2023-12-31 23:34:36,0.0
2023-12-31 23:35:06,0.0
2023-12-31 23:35:36,0.0
2023-12-31 23:36:06,0.0
2023-12-31 23:36:36,0.0
2023-12-31 23:37:06,0.0
2023-12-31 23:37:36,0.0
2023-12-31 23:38:06,0.0
2023-12-31 23:38:36,0.0
2023-12-31 23:39:06,0.0
2023-12-31 23:39:36,0.0
2023-12-31 23:40:06,0.0
2023-12-31 23:40:36,0.0
2023-12-31 23:41:06,0.0
2023-12-31 23:41:36,0.0
2023-12-31 23:42:06,0.0
2023-12-31 23:42:36,0.0
2023-12-31 23:43:06,0.0
2023-12-31 23:43:36,0.0
2023-12-31 23:44:06,0.0
2023-12-31 23:44:36,0.0
2023-12-31 23:45:06,0.0
2023-12-31 23:45:36,0.0
2023-12-31 23:46:06,0.0
2023-12-31 23:46:36,0.0
2023-12-31 23:47:06,0.0
2023-12-31 23:47:36,0.0
2023-12-31 23:48:06,0.0
2023-12-31 23:48:36,0.0
2023-12-31 23:49:06,0.0
2023-12-31 23:49:36,0.0
