2024-06-24T00:00:06.559Z,3079.219970703125,2024-06-23T23:59:47.550Z,2024-06-23T23:59:47.550Z,Good (0x00000000)
2024-06-24T00:01:05.247Z,3054.489990234375,2024-06-24T00:00:46.236Z,2024-06-24T00:00:46.236Z,Good (0x00000000)
2024-06-24T00:02:04.432Z,3262.77001953125,2024-06-24T00:01:45.423Z,2024-06-24T00:01:45.423Z,Good (0x00000000)
2024-06-24T00:03:04.574Z,3393.280029296875,2024-06-24T00:02:45.567Z,2024-06-24T00:02:45.567Z,Good (0x00000000)
2024-06-24T00:04:04.471Z,3471.320068359375,2024-06-24T00:03:45.460Z,2024-06-24T00:03:45.460Z,Good (0x00000000)
2024-06-24T00:05:04.631Z,3286.02001953125,2024-06-24T00:04:45.618Z,2024-06-24T00:04:45.618Z,Good (0x00000000)
2024-06-24T00:06:05.042Z,3403.590087890625,2024-06-24T00:05:46.035Z,2024-06-24T00:05:46.035Z,Good (0x00000000)
2024-06-24T00:07:04.260Z,3476.550048828125,2024-06-24T00:06:45.248Z,2024-06-24T00:06:45.248Z,Good (0x00000000)
2024-06-24T00:08:04.370Z,3521.6201171875,2024-06-24T00:07:45.359Z,2024-06-24T00:07:45.359Z,Good (0x00000000)
2024-06-24T00:09:03.907Z,3548.179931640625,2024-06-24T00:08:44.897Z,2024-06-24T00:08:44.897Z,Good (0x00000000)
2024-06-24T00:10:04.762Z,3565.219970703125,2024-06-24T00:09:45.748Z,2024-06-24T00:09:45.748Z,Good (0x00000000)
2024-06-24T00:11:04.657Z,3342.360107421875,2024-06-24T00:10:45.644Z,2024-06-24T00:10:45.644Z,Good (0x00000000)
2024-06-24T00:12:04.700Z,3436.43994140625,2024-06-24T00:11:45.686Z,2024-06-24T00:11:45.686Z,Good (0x00000000)
2024-06-24T00:13:05.069Z,3873.969970703125,2024-06-24T00:12:46.056Z,2024-06-24T00:12:46.056Z,Good (0x00000000)
2024-06-24T00:14:04.393Z,2842.070068359375,2024-06-24T00:13:45.385Z,2024-06-24T00:13:45.385Z,Good (0x00000000)
